Index,Country,Year,Happiness Rank,Happiness Score,Freedom,Generosity,Life Expectancy,GDP/capita,Corruption
0,Switzerland,2015,1,7.587,0.66557,0.29678,0.94143,4.041071986625883,0.41978
1,Iceland,2015,2,7.561,0.62877,0.4363,0.94784,3.6778193183402643,0.14145
2,Denmark,2015,3,7.527,0.64938,0.34139,0.87464,3.763991637443416,0.48357
3,Norway,2015,4,7.522,0.66973,0.34699,0.88521,4.301655721079145,0.36503
4,Canada,2015,5,7.427,0.63297,0.45811,0.90563,3.7670417057806596,0.32957
5,Finland,2015,6,7.406,0.64169,0.23351,0.88911,3.6336948659257877,0.41372
6,Netherlands,2015,7,7.378,0.61576,0.4761,0.89284,3.778926596028692,0.31814
7,Sweden,2015,8,7.364,0.6598,0.36262,0.91087,3.787514502988358,0.43844
8,New Zealand,2015,9,7.286,0.63938,0.47501,0.90837,3.4909712757411335,0.42922
9,Australia,2015,10,7.284,0.65124,0.43562,0.93156,3.7946037815184974,0.35637
10,Israel,2015,11,7.278,0.41319,0.33172,0.91387,3.416340674422117,0.07785
11,Costa Rica,2015,12,7.226,0.63376,0.25497,0.86027,2.6006983366953644,0.10583
12,Austria,2015,13,7.2,0.62433,0.33088,0.89042,3.8084793929070075,0.18676
13,Mexico,2015,14,7.187,0.48181,0.14074,0.81444,2.7746926935414247,0.21312
14,United States,2015,15,7.119,0.54604,0.40105,0.86179,4.032997919411201,0.1589
15,Brazil,2015,16,6.983,0.49049,0.14574,0.69702,2.667762216950317,0.17521
16,Luxembourg,2015,17,6.946,0.61583,0.28034,0.91894,4.777464660331185,0.37798
17,Ireland,2015,18,6.94,0.61777,0.45901,0.89533,3.8036456941264314,0.28703
18,Belgium,2015,19,6.937,0.5845,0.2225,0.89667,3.6981030537315718,0.2254
19,United Arab Emirates,2015,20,6.901,0.64157,0.26428,0.80925,4.1673069006823065,0.38583
20,United Kingdom,2015,21,6.867,0.59625,0.51912,0.90943,3.547950099691773,0.32067
21,Oman,2015,22,6.853,0.63274,0.21542,0.76276,3.8966219066312457,0.32524
22,Venezuela,2015,23,6.81,0.42908,0.05841,0.72052,2.8412383617392964,0.11069
23,Singapore,2015,24,6.798,0.54252,0.31105,1.02525,4.580737447946149,0.4921
24,Panama,2015,25,6.786,0.5421,0.24434,0.79661,2.8965778834293476,0.0927
25,Germany,2015,26,6.75,0.61477,0.28214,0.89186,3.773186990807762,0.21843
26,Chile,2015,27,6.67,0.44132,0.33363,0.85857,3.0257227846007764,0.12869
27,Qatar,2015,28,6.611,0.6404,0.32573,0.79733,5.421757365092486,0.52208
28,France,2015,29,6.575,0.55011,0.12332,0.94579,3.5886640416632662,0.20646
29,Argentina,2015,30,6.574,0.44974,0.11451,0.78723,2.867699097375251,0.08484
30,Czech Republic,2015,31,6.505,0.46364,0.10686,0.84483,3.2510564335527357,0.02652
31,Uruguay,2015,32,6.485,0.60362,0.2324,0.8116,2.891166344153525,0.24558
32,Colombia,2015,33,6.477,0.53466,0.18401,0.69077,2.5058048992714914,0.0512
33,Thailand,2015,34,6.455,0.55664,0.5763,0.7385,2.6297794937655925,0.03187
34,Saudi Arabia,2015,35,6.411,0.31048,0.13706,0.72025,4.036629251392949,0.32524
35,Spain,2015,36,6.329,0.45951,0.18227,0.95562,3.421605892237863,0.06398
36,Malta,2015,37,6.302,0.60365,0.51752,0.88721,3.3447769174134296,0.13586
37,Taiwan,2015,38,6.298,0.3974,0.25376,0.8753,3.636348431611549,0.08129
38,Kuwait,2015,39,6.295,0.55499,0.16228,0.72492,4.731394597708685,0.25609
39,Suriname,2015,40,6.269,0.59657,0.16991,0.6082,2.7056441039062733,0.13633
40,Trinidad and Tobago,2015,41,6.168,0.55884,0.31844,0.61483,3.35962714813243,0.0114
41,El Salvador,2015,42,6.13,0.4035,0.10692,0.67737,2.148006064571625,0.11776
42,Guatemala,2015,43,6.123,0.57733,0.27489,0.64425,2.10755814484324,0.09472
43,Uzbekistan,2015,44,6.003,0.65821,0.22837,0.59772,1.8821975428976354,0.30826
44,Slovakia,2015,45,5.995,0.31751,0.16893,0.78902,3.2184825798819907,0.03431
45,Japan,2015,46,5.987,0.49615,0.10705,0.99111,3.56348856845363,0.1806
